id,date,Venue,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,won_by,player_of_the_match,most_runs,most_wkts
45,"April 28,2024","Narendra Modi Stadium, Ahmedabad",Gujarat,Banglore,Banglore,Field,200,3,206,1,Banglore,Wickets,Will Jacks,Will Jacks,Swapnil Singh
46,"April 28,2024","MA Chidambaram Stadium, Chennai",Chennai,Hyderabad,Hyderabad,Field,212,3,134,10,Chennai,Runs,Ruturaj Gaikwad,Ruturaj Gaikwad,Tushar Deshpande
47,"April 29,2024","Eden Gardens, Kolkata",Delhi,Kolkata,Delhi,Bat,153,9,157,3,Kolkata,Wickets,Varun Chakravarthy,Phil Salt,Varun Chakravarthy
48,"April 30,2024","Ekana Sports City, Lucknow",Mumbai,Lucknow,Lucknow,Field,144,7,145,6,Lucknow,Wickets,Marcus Stoinis,Marcus Stoinis,Hardik Pandya
49,"May 1,2024","MA Chidambaram Stadium, Chennai",Chennai,Punjab,Punjab,Field,162,7,163,3,Punjab,Wickets,Harpreet Brar,Ruturaj Gaikwad,Rahul Chahar
50,"May 2,2024","Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Rajasthan,Hyderabad,Bat,201,3,200,7,Hyderabad,Runs,Bhuvneshwar Kumar,Riyan Parag ,Bhuvneshwar Kumar
51,"May 3,2024","Wankhede Stadium, Mumbai",Kolkata,Mumbai,Mumbai,Field,169,10,145,10,Kolkata,Runs,Venkatesh Iyer,Venkatesh Iyer,Mitchell Starc
52,"May 4,2024","M Chinnaswamy Stadium, Bengaluru",Gujarat,Banglore,Banglore,Field,147,10,152,6,Banglore,Wickets,Mohammed Siraj,Faf du Plessis,Josh Little
53,"May 5,2024","Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai,Punjab,Punjab,Field,167,9,139,9,Chennai,Runs,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja
54,"May 5,2024","Ekana Sports City, Lucknow",Kolkata,Lucknow,Lucknow,Field,235,6,137,10,Kolkata,Runs,Sunil Narine,Sunil Narine,Harshit Rana
55,"May 6,2024","Wankhede Stadium, Mumbai",Hyderabad,Mumbai,Mumbai,Field,173,8,174,3,Mumbai,Wickets,Suryakumar Yadav,Suryakumar Yadav,Hardik Pandya
56,"May 7,2024","Arun Jaitley Stadium, Delhi",Delhi,Rajasthan,Rajasthan,Field,221,8,201,8,Delhi,Runs,Kuldeep Yadav,Sanju Samson,Ravichandran Ashwin
57,"May 8,2024","Rajiv Gandhi International Stadium, Hyderabad",Lucknow,Hyderabad,Lucknow,Bat,165,4,167,0,Hyderabad,Wickets,Travis Head,Travis Head,Bhuvneshwar Kumar
